TF-IDF,Compressed TF-IDF,Count,Compressed Count,Word2Vec,BERT
"Mean: 0.5089539685570401, Confidence Interval: (0.4943148112777492, 0.5235931258363311)","Mean: 0.47372392712885697, Confidence Interval: (0.4652284044893074, 0.4822194497684065)","Mean: 0.5189353531791585, Confidence Interval: (0.5031592149715564, 0.5347114913867607)","Mean: 0.3983646053192734, Confidence Interval: (0.38784667485396945, 0.4088825357845774)","Mean: 0.13568185657425338, Confidence Interval: (0.11209248296088757, 0.1592712301876192)","Mean: 0.5091218422027546, Confidence Interval: (0.5016074805461743, 0.5166362038593348)"
"Mean: 0.826482354881951, Confidence Interval: (0.8218421759756397, 0.8311225337882623)","Mean: 0.6908346346778219, Confidence Interval: (0.6853115877856923, 0.6963576815699515)","Mean: 0.8282330952577154, Confidence Interval: (0.8230180110044606, 0.8334481795109702)","Mean: 0.6725674602509136, Confidence Interval: (0.6664935905584695, 0.6786413299433578)","Mean: 0.5779122497035414, Confidence Interval: (0.5718331461669226, 0.5839913532401602)","Mean: 0.6826889601373201, Confidence Interval: (0.6772480265361042, 0.688129893738536)"
34.060240030288696,5.4744274616241455,40.129289865493774,18.987348794937134,6.608099937438965,14.83092188835144
"Mean: 0.773820224719101, Confidence Interval: (0.768802869539491, 0.7788375798987109)","Mean: 0.734494382022472, Confidence Interval: (0.7295660204709646, 0.7394227435739793)","Mean: 0.7617696629213482, Confidence Interval: (0.7568350226457389, 0.7667043031969575)","Mean: 0.7634269662921348, Confidence Interval: (0.7593301205688134, 0.7675238120154562)","Mean: 0.6428932584269663, Confidence Interval: (0.6382218105154294, 0.6475647063385033)","Mean: 0.7733426966292134, Confidence Interval: (0.7689068663158027, 0.7777785269426241)"
"Mean: 0.7324372596732802, Confidence Interval: (0.7167370556381046, 0.7481374637084558)","Mean: 0.6741275538887652, Confidence Interval: (0.6580932624191023, 0.6901618453584282)","Mean: 0.7522252162195846, Confidence Interval: (0.7403159296420598, 0.7641345027971094)","Mean: 0.756696758930214, Confidence Interval: (0.7450174543356013, 0.7683760635248268)","Mean: 1.0, Confidence Interval: (1.0, 1.0)","Mean: 0.6640601354906562, Confidence Interval: (0.6540316287725173, 0.6740886422087952)"
"Mean: 0.5848305578086691, Confidence Interval: (0.5581949386980264, 0.6114661769193118)","Mean: 0.5063167183319771, Confidence Interval: (0.47800028669999534, 0.5346331499639589)","Mean: 0.49155445980382056, Confidence Interval: (0.47716986645863657, 0.5059390531490046)","Mean: 0.49021342005743274, Confidence Interval: (0.47705312132226635, 0.5033737187925992)","Mean: 0.0, Confidence Interval: (0.0, 0.0)","Mean: 0.7430631753100055, Confidence Interval: (0.7217162096354952, 0.7644101409845159)"
"Mean: 0.634670268509295, Confidence Interval: (0.6210118914912646, 0.6483286455273254)","Mean: 0.5581092678001517, Confidence Interval: (0.5414773855347812, 0.5747411500655222)","Mean: 0.5898572592969651, Confidence Interval: (0.5806532168903055, 0.5990613017036247)","Mean: 0.5906843358086578, Confidence Interval: (0.5818787084213897, 0.5994899631959258)","Mean: 0.0, Confidence Interval: (0.0, 0.0)","Mean: 0.6945614190394749, Confidence Interval: (0.6842795106139204, 0.7048433274650293)"
"Mean: 0.8186855393029601, Confidence Interval: (0.8123938866233248, 0.8249771919825953)","Mean: 0.777984358128486, Confidence Interval: (0.7724683170321127, 0.7835003992248593)","Mean: 0.8362149299770907, Confidence Interval: (0.8318229393359895, 0.8406069206181919)","Mean: 0.8355099090350001, Confidence Interval: (0.8314186616688098, 0.8396011564011904)","Mean: 0.7030682766904532, Confidence Interval: (0.6966690856535077, 0.7094674677273988)","Mean: 0.8311747487025, Confidence Interval: (0.826575471652522, 0.835774025752478)"
3258.0918822288513,74.02351880073547,1906.7421679496765,636.7833306789398,229.15579342842102,347.5461754798889
"Mean: 0.772247191011236, Confidence Interval: (0.7674985005546051, 0.7769958814678668)","Mean: 0.7394662921348315, Confidence Interval: (0.7351357989757171, 0.7437967852939459)","Mean: 0.6930337078651686, Confidence Interval: (0.6877620506205457, 0.6983053651097915)","Mean: 0.687865168539326, Confidence Interval: (0.6829019951630083, 0.6928283419156437)","Mean: 0.6495505617977527, Confidence Interval: (0.644624882589033, 0.6544762410064724)","Mean: 0.7343539325842697, Confidence Interval: (0.7293889426042365, 0.739318922564303)"
"Mean: 0.7344489510114464, Confidence Interval: (0.7173075197361457, 0.751590382286747)","Mean: 0.6738334034132856, Confidence Interval: (0.6592001278349161, 0.688466678991655)","Mean: 0.8284092043379139, Confidence Interval: (0.8110750138048268, 0.8457433948710009)","Mean: 0.8453121222089909, Confidence Interval: (0.8299850859777003, 0.8606391584402815)","Mean: 1.0, Confidence Interval: (1.0, 1.0)","Mean: 0.7018153676943412, Confidence Interval: (0.6807423845157341, 0.7228883508729482)"
